id;fec_alta;user_name;codigo_zip;credit_card_num;credit_card_ccv;cuenta_numero;direccion;geo_latitud;geo_longitud;color_favorito;foto_dni;ip;auto;auto_modelo;auto_tipo;auto_color;cantidad_compras_realizadas;avatar;fec_birthday
1;2022-03-28 21:18:02;JoseMario;89421;1234987124123;p6uKru2V1NGfbiU3AiQwb54jCioiVkB1pR2MDZ7MgZc=;ffpHGbnEUUmtEJO1SQk0IX48G+/U5qqUT+RFrkkiovI=;CAlle24#82;0;0;73QuxhEHbHejKQ4jCH8odjgtljp2v6O+OY0OeMLBb6w=;N/A;yAlVyYh/T6okIHcwq05ovERi19K0E6tZ1sMqX8IFcK4=;mercedes;1;convertible;rojo;HATEVlumgOqN5zuvJrRpgi05swekwn7nLsItbRlzy9c=;https://cdn.fakercloud.com/avatars/muringa_128.jpg;2022-03-28 21:18:02
2;2022-03-29 03:28:16;Junior39;22139;6767-2293-4172-5169;N93NbFdv+TzQvDoT+hfbsEpgW859yR/s8RWKCriqUcE=;2USUS5YKYJs60NlXBNbmpK/xsvmyrka9YgT46lmyiao=;Amelia Forks;-40;-40;qZnf3A0ocC1Oye9TIiTMFxcQyxMjxdF5BAF8jtUU1To=;http://placeimg.com/640/480;EDvHzjJ8okm1IAbdtFt+EvTgk+7JoNzsKSmwdOBPruQ=;Bugatti Corvette;Challenger;Cargo Van;Lamborghini PT Cruiser;YSHDa3zmjsn6MogFLlm8wdgWp5eZeaRZDWbOOQxk1xk=;https://cdn.fakercloud.com/avatars/franciscoamk_128.jpg;2022-03-29 03:28:16
3;2022-03-29 13:20:05;Ethelyn.Schinner;41351;3731-257378-42633;bLsiZiisSoEnsJ0iRzGlHB+XDVjqzJRaA1JGIDR6INc=;6B0NxkZQmZrAw++sWkVBfCK05mQ2Zw0/4qltbGMkohY=;Shaniya Springs;10;-106;r2dxhPdKqChXQVFg4W3Aw0ISuunfKQ/AqmK+CfV/XYI=;http://placeimg.com/640/480;RFIiYGsIDwx2paXAwzQQW41lKJhh8THVEMm2WI5TDD0=;Volkswagen Cruze;Model S;Hatchback;Jaguar Camaro;YLsmC/VigWSa5A39dM1vYxRtjhudTXjo78INlG5lG7U=;https://cdn.fakercloud.com/avatars/yigitpinarbasi_128.jpg;2022-03-29 13:20:05
4;2022-03-29 14:44:48;Lonie85;50853;6767-1997-9307-1857;O56nRIuwKP7FYYwsPSVo/K65OmGww19C4QYqW6l6VZs=;YS70kv0wkvaHoH973FeufZ06ur+efZNFLtFIqGNn/V8=;Brakus Isle;11;56;GKgev0QMO27wqVggMcXq9eC4gadMoldlmhnvnqw2SqQ=;http://placeimg.com/640/480;4a+5ifUUSFmiFAKxooIohIilVHC8V9FxRZ2SPdV0AmI=;Jaguar Mercielago;XC90;Sedan;Chevrolet Malibu;JoADNrSniltxVIMjIb8sqKS1CvdfnuAcfr86aw6Hrk0=;https://cdn.fakercloud.com/avatars/arishi__128.jpg;2022-03-29 14:44:48
5;2022-03-29 10:54:26;Jakob.Cremin;56115-4988;5430-4357-7754-2064;i6bE8EgLAy26+dTriGNN9F12CsMYpoUsBzOLanO0X3o=;ujsMBPmB4ksGEsbcDcvnwGs/IL//H19m6PU3A176n1I=;Idella Shoal;90;153;LG8MF79fYr9wty5dxUTuChRr+BCSf5/qT574qH7gP40=;http://placeimg.com/640/480;9uAvvVzZ3da9HRN+uLR4FeyOOnp49UnOXXUeS7Ui2zw=;Polestar Expedition;Mustang;Convertible;Jaguar Roadster;8yRT20kc2gwHf2zq03jopAtyhlMunc6sLkNMEDdxs3M=;https://cdn.fakercloud.com/avatars/mocabyte_128.jpg;2022-03-29 10:54:26
6;2022-03-29 06:38:00;Juvenal.Larson92;59210;6767-5481-7164-0776-991;U7Vdxk72WpVMmSqZ69sk3n+52K50vPty8DQFxCOBrWk=;KNlo545ofxU7FripoX56cAQLG34STifz+rHRz19hetA=;Quigley Shoal;-36;60;8ee+li6XwtTMITubGPw1J8BC7Bha9+CWmIkbbIttOzg=;http://placeimg.com/640/480;CWZthnEbXWtlGIeBsA4fXPesA25E313uzJFkFbOSR00=;Maserati Grand Caravan;Civic;Crew Cab Pickup;Polestar Model T;nWUtrfkCGfFoK1+mNmEUkTIUiJZ6RhTkdehSnI53ZCY=;https://cdn.fakercloud.com/avatars/ooomz_128.jpg;2022-03-29 06:38:00
7;2022-03-29 02:35:33;Jeff_Greenholt;93737;6709674859728353;JykNv8G0mUvdU5KpRvwHhLxm+GwwrZcI7VqCeP860Aw=;ga3XfQMlXweA0eVzbrO87BlTEWVxA+kFyg+WKwZToNU=;Sophia Lodge;-39;-93;nJ71Vb5dHhulKqWqXs8FVqoPsiUGckw0bRjiAmlHSQI=;http://placeimg.com/640/480;r2mfnomn7GAhLoB5dkRyJmI3s+YDzLjpFAUB0Isu7WY=;Smart Durango;Volt;Extended Cab Pickup;Chrysler Corvette;Q4lBcHvw6V0qW471/hOyCPORK5Le/rkobGbir5/xw5M=;https://cdn.fakercloud.com/avatars/rodnylobos_128.jpg;2022-03-29 02:35:33
8;2022-03-29 09:53:09;Mckayla.Lesch;90176;6759-0754-0126-0231;68Z7mQwfHvQWbRFPKyS0TOoClivqPmNb47Xd/aTHN/c=;IuOdh+Sz2jyB/zZ41+R/htczxEry6S2Tk3szaJNmFKc=;Antonette Extensions;73;-113;wzA2m2snnW8Kxk50HnM00OfJMzYRrZA8RD6nrwXMCKE=;http://placeimg.com/640/480;qsJc1+8KQelWTsVlFogC9xmL3UKAEUVYRS4urKrc94A=;Cadillac Fiesta;XC90;Sedan;Land Rover Fiesta;LrvN4emakFk0Xn1FZaJjwRwzUg4JQyfByzTwVNbrYb0=;https://cdn.fakercloud.com/avatars/woodydotmx_128.jpg;2022-03-29 09:53:09
9;2022-03-28 21:46:39;Idella.Stoltenberg4;95518-2474;3001-770154-8913;Nz8FHVAEqVtHz1MHlciKNC3w67ES5mEskB71L9InWo0=;aySpAp6/k8IaZvgUwMCHGFeS7D1Z1sZKxDqmsnmcuiQ=;Ibrahim Court;-11;132;lx7yDACnuFoShECz5VBE9KgMjUQlGg6bCO3CjyAl2xc=;http://placeimg.com/640/480;ZbY4NnVXbHOIxzCfV/2Np/mTKjaJpXxtVWydgJsWPYI=;Volkswagen Countach;1;Minivan;Audi Fiesta;/epgEBjLdjrbzOewET2ySHdmVd9kS0u64pl+pewTvIM=;https://cdn.fakercloud.com/avatars/Talbi_ConSept_128.jpg;2022-03-28 21:46:39
10;2022-03-29 05:06:16;Lawrence_Buckridge76;01592;3405-416979-04538;uI9a27HR66a8JtYQlhGCek+bg4bjKACUH9Bvk0Xsn9Y=;LaBQTYeyBgGFVgjBY0nLpzUB8uPfIV4S+hzuc/rhUZQ=;Richie Locks;17;-4;HnjPlNdwvI0SZC5o2A5iSfVlG3nqN+uu5zIA5p1nkTM=;http://placeimg.com/640/480;ibRDT2LY5VQcW1FXJDu5WahrWH6jR2C925Q4h/h//Ok=;Maserati Corvette;Altima;Hatchback;BMW Fortwo;L8oWpcLzFRBM+pjZ58YZo7LeAPHOKRWNkgEkDyFWRLE=;https://cdn.fakercloud.com/avatars/otozk_128.jpg;2022-03-29 05:06:16
