id,fec_alta,user_name,codigo_zip,credit_card_num,credit_card_ccv,cuenta_numero,direccion,geo_latitud,geo_longitud,color_favorito,foto_dni,ip,auto,auto_modelo,auto_tipo,auto_color,cantidad_compras_realizadas,avatar,fec_birthday
1,"2022-03-28 21:18:02",JoseMario,89421,1234987124123,123,4123412380,CAlle24#82,0,0,rojo,N/A,90.90.90.123,mercedes,1,convertible,rojo,84978,https://cdn.fakercloud.com/avatars/muringa_128.jpg,"2022-03-28 21:18:02"
2,"2022-03-29 03:28:16",Junior39,22139,6767-2293-4172-5169,357,50099904,"Amelia Forks",-40,-40,white,http://placeimg.com/640/480,224.140.175.223,"Bugatti Corvette",Challenger,"Cargo Van","Lamborghini PT Cruiser",30564,https://cdn.fakercloud.com/avatars/franciscoamk_128.jpg,"2022-03-29 03:28:16"
3,"2022-03-29 13:20:05",Ethelyn.Schinner,41351,3731-257378-42633,406,38047405,"Shaniya Springs",10,-106,gold,http://placeimg.com/640/480,190.130.230.168,"Volkswagen Cruze","Model S",Hatchback,"Jaguar Camaro",68331,https://cdn.fakercloud.com/avatars/yigitpinarbasi_128.jpg,"2022-03-29 13:20:05"
4,"2022-03-29 14:44:48",Lonie85,50853,6767-1997-9307-1857,107,35431462,"Brakus Isle",11,56,azure,http://placeimg.com/640/480,156.89.51.113,"Jaguar Mercielago",XC90,Sedan,"Chevrolet Malibu",39524,https://cdn.fakercloud.com/avatars/arishi__128.jpg,"2022-03-29 14:44:48"
5,"2022-03-29 10:54:26",Jakob.Cremin,56115-4988,5430-4357-7754-2064,520,11015871,"Idella Shoal",90,153,plum,http://placeimg.com/640/480,214.215.253.46,"Polestar Expedition",Mustang,Convertible,"Jaguar Roadster",76938,https://cdn.fakercloud.com/avatars/mocabyte_128.jpg,"2022-03-29 10:54:26"
6,"2022-03-29 06:38:00",Juvenal.Larson92,59210,6767-5481-7164-0776-991,965,72588644,"Quigley Shoal",-36,60,lime,http://placeimg.com/640/480,63.31.243.1,"Maserati Grand Caravan",Civic,"Crew Cab Pickup","Polestar Model T",84029,https://cdn.fakercloud.com/avatars/ooomz_128.jpg,"2022-03-29 06:38:00"
7,"2022-03-29 02:35:33",Jeff_Greenholt,93737,6709674859728353,982,78676257,"Sophia Lodge",-39,-93,magenta,http://placeimg.com/640/480,76.249.54.121,"Smart Durango",Volt,"Extended Cab Pickup","Chrysler Corvette",9350,https://cdn.fakercloud.com/avatars/rodnylobos_128.jpg,"2022-03-29 02:35:33"
8,"2022-03-29 09:53:09",Mckayla.Lesch,90176,6759-0754-0126-0231,682,97627974,"Antonette Extensions",73,-113,ivory,http://placeimg.com/640/480,15.6.80.146,"Cadillac Fiesta",XC90,Sedan,"Land Rover Fiesta",89322,https://cdn.fakercloud.com/avatars/woodydotmx_128.jpg,"2022-03-29 09:53:09"
9,"2022-03-28 21:46:39",Idella.Stoltenberg4,95518-2474,3001-770154-8913,205,03032398,"Ibrahim Court",-11,132,gold,http://placeimg.com/640/480,238.9.7.51,"Volkswagen Countach",1,Minivan,"Audi Fiesta",52445,https://cdn.fakercloud.com/avatars/Talbi_ConSept_128.jpg,"2022-03-28 21:46:39"
10,"2022-03-29 05:06:16",Lawrence_Buckridge76,01592,3405-416979-04538,105,81231148,"Richie Locks",17,-4,violet,http://placeimg.com/640/480,110.175.65.43,"Maserati Corvette",Altima,Hatchback,"BMW Fortwo",91243,https://cdn.fakercloud.com/avatars/otozk_128.jpg,"2022-03-29 05:06:16"
